Cities	Countries	Abbr	
Aachen	 Germany	AAH	
Aalborg	 Denmark	AAL	
Aarhus [Tirstrup]	 Denmark	AAR	
Abadan	 Iran	ABD	
Abaiang	 Kiribati	ABF	
Abakan	 Khakassia	ABA	
Abau	 Papua New Guinea	ABW	
Abbotsford	 BC [Abbotsford Airport]	YXX	
Abbse	 Yemen	EAB	
Abeche	 Chad	AEH	
Abemama Atoll	 Kiribati	AEA	
Abengourou	 Ivory Coast	OGO	
Aberdeen Proving Ground (Aberdeen)	 MD USA	APG	
Aberdeen	 Scotland [Dyce]	ABZ	
Aberdeen	 SD [Aberdeen Regional Airport]	ABR	
Abidjan [Port-Bouet]	 Ivory Coast	ABJ	
Abilene	 TX [Abilene Regional Airport]	ABI	
Abilene	 TX [Dyess Air Force Base]	DYS	
Abingdon	 England [Abingdon RAF Station]	ABB	
Abingdon	 VA [Virginia Highlands Airport]	VJI	
Abingoon	 Queensland	ABG	
Aboisso	 Ivory Coast	ABO	
Abou Deia	 Chad	AOD	
Abreojos	 Mexico	AJS	
Abu Dhabi [Bettina]	 United Arab Emirates	AZI	
Abu Dhabi [Nadia International Airport]	 United Arab Emirates	AUH	
Abu Dhabi	 United Arab Emirates	DFA	
Abu Simbel	 Egypt	ABS	
Abuja	 Nigeria	ABV	
Acandi	 Colombia	ACD	
Acapulco [General Juan N. Alvarez]	 Mexico	ACA	
Acaricura	 Colombia	ARF	
Acarigua	 Venezuela	AGV	
Accra [Kotoka]	 Ghana	ACC	
Achutupo	 Panama	ACU	
Ada	 OK [Ada Municipal Airport]	ADT	
Adak Island	 AK [Adak Naval Air Station]	ADK	
Adana [Incirlik Air Base]	 Turkey	ADA	
Adana [Incirlik Air Base]	 Turkey	ADC	
Addis Ababa [Bole]	 Ethiopia	ADD	
Adelaide	 South Australia [International]	ADL	
Aden [International]	 Yemen	ADE	
Adler/Sochi	 Krasnodar	AER	
Adrar [Touat]	 Algeria	AZR	
Adrian	 MI [Lenawee County Airport]	ADG	
Aek Godang	 Indonesia	AEG	
Afore	 Papua New Guinea	AFR	
Afton	 WY [Afton Municipal Airport]	AFO	
Afyon	 Turkey	AFY	
Agades (Agadez)	 Niger	AJY	
Agadir [Al Massira]	 Morocco	AGA	
Agana [Agana Naval Air Station]	 Guam	NGM	
Agartala	 India	IXA	
Agatti Island	 India	AGX	
Agaun	 Papua New Guinea	AUP	
Agen	 France	AGF	
Aggeneys	 South Africa	AGZ	
Agnew	 Queensland	AGW	
Ago	 Argentina	ING	
Agra	 India	AGR	
Agrinion	 Greece	AGQ	
Aguadilla	 Puerto Rico	BQN	
Aguascalientes	 Mexico	AGU	
Aguni	 Japan	AGJ	
Ahmedabad	 India	AMD	
Ahuas	 Honduras	AHS	
Ahwaz	 Iran	AWZ	
Aiken	 SC [Aiken Municipal Airport]	AIK	
Ailigandi	 Panama	AIL	
Ailinglapalap	 Marshall Islands	AIP	
Ailuk	 Ine Island	AIM	
Ainsworth	 NE [Ainsworth Municipal Airport]	ANW	
Aiome	 Papua New Guinea	AIE	
Aioun el Atrouss	 Mauritania	AEO	
Airlie Beach	 Queensland	WSY	
Airok	 Marshall Islands	AIC	
Aishalton	 Guyana	AHL	
Aitape	 Papua New Guinea	ATP	
Aitutaki	 Cook Islands	AIT	
Aiyura	 Papua New Guinea	AYU	
Aizawl	 India	AJL	
Ajaccio	 Corsica [Campo Dell'Oro]	AJA	
Ajman City	 United Arab Emirates	QAJ	
Akhiok	 AK [Akhiok Airport]	AKK	
Akiachak	 AK [Akiachak Seaplane Base]	KKI	
Akiak	 AK [Akiak Airport]	AKI	
Akieni	 Gabon	AKE	
Akita	 Japan	AXT	
Akjoujt	 Mauritania	AJJ	
Aklavik	 NT [Aklavik Airport]	LAK	
Akola	 India	AKD	
Akron	 CO [Akron-Washington County Airport]	AKO	
Akron	 OH [Akron-Canton Regional Airport]	CAK	
Akrotiri	 Cyprus	AKT	
Aksu	 China	AKU	
Akulivik	 QC	AKV	
Akure	 Nigeria	AKR	
Akureyri	 Iceland	AEY	
Akutan	 AK [Akutan Seaplane Base]	KQA	
Al Ain	 United Arab Emirates	AAN	
Al Arish	 Egypt	AAC	
Al Baha	 Saudi Arabia	ABT	
Al Bayda	 Yemen	AYY	
Al Ghaydah	 Yemen	AAY	
Al Hoceima [Cote du Rif]	 Morocco	AHU	
Al Kharj Air Base	 Saudi Arabia	XWP	
Al Thaurah	 Syria	SOR	
Alagoinhas	 BA	QGS	
Alah	 Philippines	AAV	
Alakanuk	 AK [Alakanuk Airport]	AUK	
Alameda	 CA [Alameda Naval Air Station (Nimitz Field)]	NGZ	
Alamogordo	 NM [White Sands Regional Airport]	ALM	
Alamogordo	 NM [Holloman Air Force Base]	HMN	
Alamos	 Mexico	XAL	
Alamosa	 CO [San Luis Valley Regional Airport/Bergman F.]	ALS	
Albany	 GA [Albany Naval Air Station]	NAB	
Albany	 GA [Southwest Georgia Regional Airport]	ABY	
Albany	 NY [Albany County Airport]	ALB	
Albany	 Western Australia	ALH	
Albenga	 Italy	ALL	
Albert Lea	 MN [Albert Lea Municipal Airport]	AEL	
Albi	 France	LBI	
Albina	 Suriname	ABN	
Albion	 NE [Albion Municipal Airport]	BVN	
Albuq	 Yemen	BUK	
Albuquerque	 NM [Albuquerque International Airport]	ABQ	
Albury	 New South Wales	ABX	
Alconbury	 England [Alconbury RAF Station]	AYH	
Alcoota	 Northern Territory	WCY	
Aldan	 Yakutia-Sakha	ADH	
Alderney	 Channel Islands	ACI	
Aleg	 Mauritania	LEG	
Alegrete	 RS	ALQ	
Aleknagik	 AK [Aleknagik Airport]	WKK	
Alenquer	 PA	ALT	
Aleppo	 Syria	ALP	
Alert Bay	 BC [Alert Bay Airport]	YAL	
Alert	 NT [Alert Airport]	YLT	
Alerta	 Peru	ALD	
Alesund (Aalesund) [Vigra]	 Norway	AES	
Alexander Bay	 South Africa	ALJ	
Alexander City	 AL [Thomas C. Russell Field]	ALX	
Alexandra	 New Zealand	ALR	
Alexandria Bay	 NY [Maxson Airfield]	AXB	
Alexandria	 Egypt	ALY	
Alexandria	 LA [Alexandria Esler Regional Airport]	ESF	
Alexandria	 LA [Alexandria International Airport]	AEX	
